TIGR00001	ribosomal protein L35
TIGR03446	mycothiol conjugate amidase Mca
TIGR03447	cysteine--1-D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
TIGR03448	mycothiol synthase
TIGR03449	D-inositol-3-phosphate glycosyltransferase
TIGR03450	inositol 1-phosphate synthase
TIGR03451	S-(hydroxymethyl)mycothiol dehydrogenase
TIGR03452	mycothione reductase
TIGR03453	plasmid partitioning protein RepA
TIGR03454	plasmid partitioning protein RepB
TIGR03455	ATP phosphoribosyltransferase, C-terminal domain
TIGR03457	sulfoacetaldehyde acetyltransferase
TIGR03458	succinate CoA transferase
TIGR03459	carotene biosynthesis associated membrane protein
TIGR03460	carotene biosynthesis associated membrane protein
TIGR03461	aminodeoxychorismate lyase
TIGR03462	lycopene cyclase domain
TIGR03463	2,3-oxidosqualene cyclase
TIGR03464	squalene synthase HpnC
TIGR03465	squalene synthase HpnD
TIGR03466	hopanoid-associated sugar epimerase
TIGR03467	squalene-associated FAD-dependent desaturase
TIGR03468	hopanoid-associated phosphorylase
TIGR03469	hopene-associated glycosyltransferase HpnB
TIGR03470	hopanoid biosynthesis associated radical SAM protein HpnH
TIGR03471	hopanoid biosynthesis associated radical SAM protein HpnJ
TIGR03472	hopanoid biosynthesis associated glycosyl transferase protein HpnI
TIGR03473	hopanoid biosynthesis associated protein HpnK
TIGR03474	incFII family plasmid replication initiator RepA
TIGR03475	RepA leader peptide Tap
TIGR03476	putative membrane protein
TIGR03477	DMSO reductase family type II enzyme, heme b subunit
TIGR03478	DMSO reductase family type II enzyme, iron-sulfur subunit
TIGR03479	DMSO reductase family type II enzyme, molybdopterin subunit
TIGR03480	hopanoid biosynthesis associated RND transporter like protein HpnN
TIGR03481	hopanoid biosynthesis associated membrane protein HpnM
TIGR03482	DMSO reductase family type II enzyme chaperone
TIGR03483	cell division protein FtsZ, alphaProteobacterial C-terminal extension
TIGR03485	CRISPR-associated protein Cas8a1/Csx13, MYXAN subtype
TIGR03486	CRISPR-associated protein Cas8a1/Csx13, MYXAN subtype, C-terminal region
TIGR03487	CRISPR-associated protein Cas8c/Csp2, subtype PGING
TIGR03488	CRISPR-associated protein Cas5, subtype PGING
TIGR03489	CRISPR-associated protein Cas7/Csp1, subtype PGING
TIGR03490	mycoides cluster lipoprotein, LppA/P72 family
TIGR03491	putative RecB family nuclease, TM0106 family
TIGR03492	conserved hypothetical protein
TIGR03493	celllulose biosynthesis operon protein BcsF/YhjT
TIGR03494	salicylate synthase
TIGR03495	phage lysis regulatory protein, LysB family
TIGR03496	flagellar protein export ATPase FliI
TIGR03497	flagellar protein export ATPase FliI
TIGR03498	flagellar protein export ATPase FliI
TIGR03499	flagellar biosynthesis protein FlhF
TIGR03500	flagellar biosynthetic protein FliO
TIGR03501	GlyGly-CTERM domain
TIGR03502	extracellular lipase, Pla-1/cef family
TIGR03503	TIGR03503 family protein
TIGR03504	FimV C-terminal domain
TIGR03505	FimV N-terminal domain
TIGR03506	flagellar hook-basal body protein
TIGR03507	decaheme c-type cytochrome, OmcA/MtrC family
TIGR03508	decaheme c-type cytochrome, DmsE family
TIGR03509	decaheme-associated outer membrane protein, MtrB/PioB family
TIGR03510	XapX domain
TIGR03511	gliding motility-associated lipoprotein GldH
TIGR03512	gliding motility-associated lipoprotein GldD
TIGR03513	gliding motility-associated protein GldL
TIGR03514	gliding motility-associated lipoprotein GldB
TIGR03515	gliding motility-associated protein GldC
TIGR03516	peptidyl-prolyl isomerase, gliding motility-associated
TIGR03517	gliding motility-associated protein GldM
TIGR03518	gliding motility-associated ABC transporter permease protein GldF
TIGR03519	Bacteroidetes-specific putative membrane protein
TIGR03520	gliding motility-associated protein GldE
TIGR03521	gliding-associated putative ABC transporter substrate-binding component GldG
TIGR03522	gliding motility-associated ABC transporter ATP-binding subunit GldA
TIGR03523	gliding motility associated protein GldN
TIGR03524	gliding motility-associated lipoprotein GldJ
TIGR03525	gliding motility-associated lipoprotein GldK
TIGR03526	putative selenium metabolism hydrolase
TIGR03527	selenium metabolism protein YedF
TIGR03528	diaminopropionate ammonia-lyase
TIGR03529	gliding motility-associated lipoprotein GldK
TIGR03530	gliding motility-associated lipoprotein GldJ
TIGR03531	O-phosphoseryl-tRNA(Sec) selenium transferase
TIGR03532	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
TIGR03533	protein-(glutamine-N5) methyltransferase, ribosomal protein L3-specific
TIGR03534	protein-(glutamine-N5) methyltransferase, release factor-specific
TIGR03535	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR03536	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR03537	succinyldiaminopimelate transaminase
TIGR03538	succinyldiaminopimelate transaminase
TIGR03539	succinyldiaminopimelate transaminase
TIGR03540	LL-diaminopimelate aminotransferase
TIGR03541	LuxR family transcriptional regulatory, chaperone HchA-associated
TIGR03542	LL-diaminopimelate aminotransferase
TIGR03543	DivIVA domain repeat protein
TIGR03544	DivIVA domain
TIGR03545	TIGR03545 family protein
TIGR03546	TIGR03546 family protein
TIGR03547	mutatrotase, YjhT family
TIGR03548	cyclically-permuted mutarotase family protein
TIGR03549	YcaO domain protein
TIGR03550	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase, CofG subunit
TIGR03551	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase, CofH subunit
TIGR03552	2-phospho-L-lactate guanylyltransferase
TIGR03553	F420 biosynthesis protein FbiB, C-terminal domain
TIGR03554	glucose-6-phosphate dehydrogenase (coenzyme-F420)
TIGR03555	5,10-methylenetetrahydromethanopterin reductase
TIGR03556	deoxyribodipyrimidine photo-lyase, 8-HDF type
TIGR03557	F420-dependent oxidoreductase, G6PDH family
TIGR03558	luciferase family oxidoreductase, group 1
TIGR03559	probable F420-dependent oxidoreductase, Rv3520c family
TIGR03560	probable F420-dependent oxidoreductase, Rv1855c family
TIGR03561	peroxiredoxin, Ohr subfamily
TIGR03562	peroxiredoxin, OsmC subfamily
TIGR03563	peroxiredoxin, SACOL1771 subfamily
TIGR03564	F420-dependent oxidoreductase, MSMEG_4879 family
TIGR03565	alkanesulfonate monooxygenase, FMNH(2)-dependent
TIGR03566	FMN reductase
TIGR03567	FMN reductase
TIGR03568	UDP-N-acetyl-D-glucosamine 2-epimerase, UDP-hydrolysing
TIGR03569	N-acetylneuraminate synthase
TIGR03570	sugar O-acyltransferase, sialic acid O-acetyltransferase NeuD family
TIGR03571	luciferase-type oxidoreductase, BA3436 family
TIGR03572	glycosyl amidation-associated protein WbuZ
TIGR03573	N-acetyl sugar amidotransferase
TIGR03574	L-seryl-tRNA(Sec) kinase
TIGR03575	L-seryl-tRNA(Sec) kinase
TIGR03576	pyridoxal phosphate enzyme, MJ0158 family
TIGR03577	conserved hypothetical protein EF_0830/AHA_3911
TIGR03578	conserved hypothetical protein EF_0831/AHA_3912
TIGR03579	conserved hypothetical protein EF_0833/AHA_3914
TIGR03580	conserved hypothetical protein EF_0832/AHA_3913
TIGR03581	conserved hypothetical protein EF_0839/AHA_3917
TIGR03582	PRD domain protein, EF_0829/AHA_3910 family
TIGR03583	putative amidohydrolase, EF_0837/AHA_3915 family
TIGR03584	pseudaminic acid cytidylyltransferase
TIGR03585	pseudaminic acid biosynthesis N-acetyl transferase
TIGR03586	pseudaminic acid synthase
TIGR03587	pseudaminic acid biosynthesis-associated methylase
TIGR03588	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase
TIGR03589	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
TIGR03590	pseudaminic acid biosynthesis-associated protein PseG
TIGR03591	polyribonucleotide nucleotidyltransferase
TIGR03592	membrane protein insertase, YidC/Oxa1 family
TIGR03593	membrane protein insertase, YidC/Oxa1 family, N-terminal domain
TIGR03594	ribosome-associated GTPase EngA
TIGR03595	Obg family GTPase CgtA, C-terminal extension
TIGR03596	ribosome biogenesis GTP-binding protein YlqF
TIGR03597	ribosome biogenesis GTPase YqeH
TIGR03598	ribosome biogenesis GTP-binding protein YsxC
TIGR03599	DAK2 domain fusion protein YloV
TIGR03600	phage replicative helicase, DnaB family
TIGR03601	probable heterocycle-containing bacteriocin, BA_2677 family
TIGR03602	bacteriocin protoxin, streptolysin S family
TIGR03603	thiazole/oxazole-forming peptide maturase, SagC family component
TIGR03604	thiazole/oxazole-forming peptide maturase, SagD family component
TIGR03605	SagB-type dehydrogenase domain
TIGR03606	dehydrogenase, PQQ-dependent, s-GDH family
TIGR03607	patatin-related protein
TIGR03608	putative bacteriocin export ABC transporter, lactococcin 972 group
TIGR03609	polysaccharide pyruvyl transferase CsaB
TIGR03610	pyrimidine utilization protein C
TIGR03611	pyrimidine utilization protein D
TIGR03612	pyrimidine utilization protein A
TIGR03613	pyrimidine utilization regulatory protein R
TIGR03614	pyrimidine utilization protein B
TIGR03615	pyrimidine utilization flavin reductase protein F
TIGR03616	pyrimidine utilization transport protein G
TIGR03617	probable F420-dependent oxidoreductase, MSMEG_2256 family
TIGR03618	PPOX class probable F420-dependent enzyme
TIGR03619	probable F420-dependent oxidoreductase, Rv2161c family
TIGR03620	probable F420-dependent oxidoreductase, MSMEG_4141 family
TIGR03621	probable F420-dependent oxidoreductase, MSMEG_2516 family
TIGR03622	urea ABC transporter, permease protein UrtB
TIGR03623	probable DNA repair protein
TIGR03624	putative hydrolase
TIGR03625	50S ribosomal protein L3
TIGR03626	archaeal ribosomal protein L3
TIGR03627	archaeal ribosomal protein S9P
TIGR03628	archaeal ribosomal protein S11P
TIGR03629	archaeal ribosomal protein S13P
TIGR03630	archaeal ribosomal protein S17P
TIGR03631	30S ribosomal protein S13
TIGR03632	30S ribosomal protein S11
TIGR03633	proteasome endopeptidase complex, archaeal, alpha subunit
TIGR03634	proteasome endopeptidase complex, archaeal, beta subunit
TIGR03635	30S ribosomal protein S17
TIGR03636	archaeal ribosomal protein L23
TIGR03637	CRISPR-associated endonuclease Cas1, subtype I-F/YPEST
TIGR03638	CRISPR-associated endonuclease Cas1, subtype I-E/ECOLI
TIGR03639	CRISPR-associated endonuclease Cas1, subtype II/NMENI
TIGR03640	CRISPR-associated endonuclease Cas1, subtype I-C/DVULG
TIGR03641	CRISPR-associated endonuclease Cas1, subtype I-B/HMARI/TNEAP
TIGR03642	CRISPR-associated protein, Csx14 family
TIGR03643	TIGR03643 family protein
TIGR03644	probable ammonium transporter, marine subtype
TIGR03645	lactoylglutathione lyase family protein
TIGR03646	YtoQ family protein
TIGR03647	putative solute:sodium symporter small subunit
TIGR03648	probable sodium:solute symporter, VC_2705 subfamily
TIGR03649	ergot alkaloid biosynthesis protein, AFUA_2G17970 family
TIGR03650	violacein biosynthesis enzyme VioE
TIGR03651	circular bacteriocin, circularin A/uberolysin family
TIGR03652	iron-sulfur cluster repair di-iron protein
TIGR03653	archaeal ribosomal protein L6P
TIGR03654	ribosomal protein L6
TIGR03655	restriction alleviation protein, Lar family
TIGR03656	heme uptake protein IsdC
TIGR03657	heme uptake protein IsdB
TIGR03658	haptoglobin-binding heme uptake protein HarA
TIGR03659	heme ABC transporter, heme-binding protein isdE
TIGR03660	T1SS-143 repeat domain
TIGR03661	type I secretion C-terminal target domain (VC_A0849 subclass)
TIGR03662	chlor_Arch_YYY domain
TIGR03663	TIGR03663 family protein
TIGR03664	futalosine hydrolase
TIGR03665	arCOG04150 universal archaeal KH domain protein
TIGR03666	PPOX class probable F420-dependent enzyme, Rv2061 family
TIGR03667	PPOX class probable F420-dependent enzyme, Rv3369 family
TIGR03668	PPOX class probable F420-dependent enzyme, Rv0121 family
TIGR03669	urea ABC transporter, substrate-binding protein
TIGR03670	DNA-directed RNA polymerase subunit B
TIGR03671	CCA-adding enzyme
TIGR03672	50S ribosomal protein L4P
TIGR03673	50S ribosomal protein L14P
TIGR03674	flap structure-specific endonuclease
TIGR03675	arCOG00543 universal archaeal KH-domain/beta-lactamase-domain protein
TIGR03676	peptide chain release factor 1, archaeal and eukaryotic forms
TIGR03677	50S ribosomal protein L7Ae
TIGR03678	bacteriocin leader peptide, microcyclamide/patellamide family
TIGR03679	arCOG00187 universal archaeal metal-binding-domain/4Fe-4S-binding-domain containing ABC transporter, ATP-binding protein
TIGR03680	translation initiation factor 2, gamma subunit
TIGR03682	diphthamide biosynthesis enzyme Dph2
TIGR03683	alanine--tRNA ligase
TIGR03684	arCOG04150 universal archaeal PUA-domain protein
TIGR03685	50S ribosomal protein L12P
TIGR03686	Pup--protein ligase
TIGR03687	ubiquitin-like protein Pup
TIGR03688	proteasome accessory factor PafA2
TIGR03689	proteasome ATPase
TIGR03690	proteasome, beta subunit
TIGR03691	proteasome, alpha subunit
TIGR03692	ATP-dependent protease HslVU, peptidase subunit
TIGR03693	putative thiazole-containing bacteriocin maturation protein
TIGR03694	N-acyl amino acid synthase, PEP-CTERM/exosortase system-associated
TIGR03695	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
TIGR03696	RHS repeat-associated core domain
TIGR03697	global nitrogen regulator NtcA
TIGR03698	clan AA aspartic protease, AF_0612 family
TIGR03699	dehypoxanthine futalosine cyclase
TIGR03700	putative menaquinone biosynthesis radical SAM enzyme, SCO4494 family
TIGR03701	menaquinone biosynthesis decarboxylase, SCO4490 family
TIGR03702	lipid kinase YegS
TIGR03703	glycerol-3-phosphate O-acyltransferase
TIGR03704	putative protein-(glutamine-N5) methyltransferase, unknown substrate-specific
TIGR03705	polyphosphate kinase 1
TIGR03706	exopolyphosphatase
TIGR03707	polyphosphate kinase 2
TIGR03708	polyphosphate:AMP phosphotransferase
TIGR03709	polyphosphate:nucleotide phosphotransferase, PPK2 family
TIGR03710	2-oxoacid:acceptor oxidoreductase, alpha subunit
TIGR03711	accessory Sec system protein Asp3
TIGR03712	accessory Sec system protein Asp2
TIGR03713	accessory Sec system protein Asp1
TIGR03714	accessory Sec system translocase SecA2
TIGR03715	KxYKxGKxW signal peptide
TIGR03716	integral membrane protein, YkoY family
TIGR03717	integral membrane protein, YjbE family
TIGR03718	integral membrane protein, TerC family
TIGR03719	ATP-binding cassette protein, ChvD family
TIGR03720	exosporium leader peptide
TIGR03721	BclB C-terminal domain
TIGR03722	universal archaeal protein Kae1
TIGR03723	tRNA threonylcarbamoyl adenosine modification protein TsaD
TIGR03724	Kae1-associated kinase Bud32
TIGR03725	tRNA threonylcarbamoyl adenosine modification protein YeaZ
TIGR03726	putative cross-wall-targeting lipoprotein signal
TIGR03727	urea ABC transporter, permease protein UrtC
TIGR03728	glycosyltransferase, SP_1767 family
TIGR03729	putative phosphoesterase
TIGR03730	tungstate ABC transporter binding protein WtpA
TIGR03731	lantibiotic, gallidermin/nisin family
TIGR03732	lantibiotic protection ABC transporter permease subunit, MutE/EpiE family
TIGR03733	lantibiotic protection ABC transporter permease subunit, MutG family
TIGR03734	PRTRC system ParB family protein
TIGR03735	PRTRC system protein A
TIGR03736	PRTRC system ThiF family protein
TIGR03737	PRTRC system protein B
TIGR03738	PRTRC system protein C
TIGR03739	PRTRC system protein D
TIGR03740	lantibiotic protection ABC transporter, ATP-binding subunit
TIGR03741	PRTRC system protein E
TIGR03742	PRTRC system protein F
TIGR03743	conjugative coupling factor TraD, SXT/TOL subfamily
TIGR03744	conjugative transfer ATPase, PFL_4706 family
TIGR03745	integrating conjugative element membrane protein, PFL_4702 family
TIGR03746	integrating conjugative element protein, PFL_4703 family
TIGR03747	integrating conjugative element membrane protein, PFL_4697 family
TIGR03748	integrating conjugative element protein PilL, PFGI-1 class
TIGR03749	integrating conjugative element protein, PFL_4704 family
TIGR03750	conjugative transfer region protein, TIGR03750 family
TIGR03751	conjugative transfer region lipoprotein, TIGR03751 family
TIGR03752	integrating conjugative element protein, PFL_4705 family
TIGR03753	beta-carotene 15,15'-monooxygenase, Brp/Blh family
TIGR03754	conjugative coupling factor TraD, PFGI-1 class
TIGR03755	integrating conjugative element protein, PFL_4711 family
TIGR03756	integrating conjugative element protein, PFL_4710 family
TIGR03757	integrating conjugative element protein, PFL_4709 family
TIGR03758	integrating conjugative element protein, PFL_4701 family
TIGR03759	integrating conjugative element protein, PFL_4693 family
TIGR03760	integrating conjugative element relaxase, PFGI-1 class
TIGR03761	integrating conjugative element protein, PFL_4669 family
TIGR03762	archaeosortase C
TIGR03763	cyanoexosortase A
TIGR03764	integrating conjugative element, PFGI_1 class, ParB family protein
TIGR03765	integrating conjugative element protein, PFL_4695 family
TIGR03766	conserved hypothetical integral membrane protein
TIGR03767	metallophosphoesterase, PPA1498 family
TIGR03768	metallophosphoesterase, RPA4764 family
TIGR03769	actinobacterial surface-anchored protein domain
TIGR03770	anchored repeat-type ABC transporter, permease subunit
TIGR03771	anchored repeat-type ABC transporter, ATP-binding subunit
TIGR03772	anchored repeat ABC transporter, substrate-binding protein
TIGR03773	putative ABC transporter-associated repeat protein
TIGR03774	rickettsial palindromic element RPE2 domain
TIGR03775	rickettsial palindromic element RPE3 domain
TIGR03776	rickettsial palindromic element RPE5 domain
TIGR03777	rickettsial palindromic element RPE4 domain
TIGR03778	VPDSG-CTERM protein sorting domain
TIGR03779	Bacteroides conjugative transposon TraM protein
TIGR03780	Bacteroides conjugative transposon TraN protein
TIGR03781	Bacteroides conjugative transposon TraK protein
TIGR03782	Bacteroides conjugative transposon TraJ protein
TIGR03783	Bacteroides conjugation system ATPase, TraG family
TIGR03784	sortase, marine proteobacterial type
TIGR03785	proteobacterial dedicated sortase system histidine kinase
TIGR03786	streptococcal pilin isopeptide linkage domain
TIGR03787	proteobacterial dedicated sortase system response regulator
TIGR03788	marine proteobacterial sortase target protein
TIGR03789	proteobacterial sortase system peptidoglycan-associated protein
TIGR03790	TIGR03790 family protein
TIGR03791	tryptophan tryptophylquinone biosynthesis enzyme MauG
TIGR03792	uncharacterized cyanobacterial protein, TIGR03792 family
TIGR03793	NHLP leader peptide domain
TIGR03794	NHLM bacteriocin system secretion protein
TIGR03795	ribosomal natural product, two-chain TOMM family
TIGR03796	NHLM bacteriocin system ABC transporter, peptidase/ATP-binding protein
TIGR03797	NHLM bacteriocin system ABC transporter, ATP-binding protein
TIGR03798	nif11-like leader peptide domain
TIGR03799	putative pyridoxal-dependent aspartate 1-decarboxylase
TIGR03800	pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2
TIGR03801	aspartate 4-decarboxylase
TIGR03802	aspartate-alanine antiporter
TIGR03803	gloeo_Verruco repeat
TIGR03804	parallel beta-helix repeat
TIGR03805	parallel beta-helix repeat-containing protein
TIGR03806	conserved hypothetical protein, HNE_0200 family
TIGR03807	putative cofactor-binding repeat
TIGR03808	twin-arg-translocated uncharacterized repeat protein
TIGR03809	TIGR03809 family protein
TIGR03810	arginine-ornithine antiporter
TIGR03811	tyrosine decarboxylase
TIGR03812	tyrosine decarboxylase MnfA
TIGR03813	putative glutamate/gamma-aminobutyrate antiporter
TIGR03814	glutaminase A
TIGR03815	helicase/secretion neighborhood CpaE-like protein
TIGR03816	helicase/secretion neighborhood TadE-like protein
TIGR03817	helicase/secretion neighborhood putative DEAH-box helicase
TIGR03818	flagellar motor stator protein MotA
TIGR03819	helicase/secretion neighborhood ATPase
TIGR03820	lysine-2,3-aminomutase
TIGR03821	EF-P beta-lysylation protein EpmB
TIGR03822	lysine-2,3-aminomutase-related protein
TIGR03823	flagellar regulatory protein FliZ
TIGR03824	flagellar biosynthesis anti-sigma factor FlgM
TIGR03825	flagellar assembly protein FliH
TIGR03826	flagellar operon protein TIGR03826
TIGR03827	putative beta-lysine N-acetyltransferase
TIGR03828	1-phosphofructokinase
TIGR03829	uncharacterized protein, YokU family
TIGR03830	putative zinc finger/helix-turn-helix protein, YgiT family
TIGR03831	YgiT-type zinc finger domain
TIGR03832	tyrosine 2,3-aminomutase
TIGR03833	conserved hypothetical protein
TIGR03834	EAGR box
TIGR03835	terminal organelle assembly protein TopJ
TIGR03836	cytadherence high molecular weight protein 1 N-terminal region
TIGR03837	conserved hypothetical protein, PP_1857 family
TIGR03838	glutamyl-queuosine tRNA(Asp) synthetase
TIGR03839	adhesin P1
TIGR03840	thiopurine S-methyltransferase, Se/Te detoxification family
TIGR03841	probable F420-dependent oxidoreductase, Rv3093c family
TIGR03842	F420-dependent oxidoreductase, CPS_4043 family
TIGR03843	conserved hypothetical protein
TIGR03844	cysteate synthase
TIGR03845	sulfopyruvate decarboxylase, alpha subunit
TIGR03846	sulfopyruvate decarboxylase, beta subunit
TIGR03847	conserved hypothetical protein
TIGR03848	probable phosphomutase, MSMEG_4193 family
TIGR03849	phosphosulfolactate synthase
TIGR03850	carbohydrate ABC transporter substrate-binding protein, CPR_0540 family
TIGR03851	carbohydrate ABC transporter, N-acetylglucosamine/diacetylchitobiose-binding protein
TIGR03852	sucrose phosphorylase
TIGR03853	putative metal-binding protein
TIGR03854	probable F420-dependent oxidoreductase, MSMEG_3544 family
TIGR03855	aspartate dehydrogenase
TIGR03856	probable F420-dependent oxidoreductase, MSMEG_2906 family
TIGR03857	probable F420-dependent oxidoreductase, MSMEG_2249 family
TIGR03858	probable oxidoreductase, LLM family
TIGR03859	coenzyme PQQ biosynthesis protein PqqD
TIGR03860	FMN-dependent oxidoreductase, nitrilotriacetate monooxygenase family
TIGR03861	alcohol ABC transporter, permease protein
TIGR03862	flavoprotein, TIGR03862 family
TIGR03863	ABC transporter, substrate binding protein, PQQ-dependent alcohol dehydrogenase system
TIGR03864	ABC transporter, ATP-binding subunit, PQQ-dependent alcohol dehydrogenase system
TIGR03865	PQQ-dependent catabolism-associated CXXCW motif protein
TIGR03866	PQQ-dependent catabolism-associated beta-propeller protein
TIGR03867	MprA protease C-terminal rhombosortase-interaction domain
TIGR03868	proposed F420-0 ABC transporter, periplasmic F420-0 binding protein
TIGR03869	proposed F420-0 ABC transporter, permease protein
TIGR03870	methanol oxidation system protein MoxJ
TIGR03871	quinoprotein dehydrogenase-associated probable ABC transporter substrate-binding protein
TIGR03872	cytochrome c(L), periplasmic
TIGR03873	proposed F420-0 ABC transporter, ATP-binding protein
TIGR03874	c-type cytochrome, methanol metabolism-related
TIGR03875	RNA ligase partner, MJ_0950 family
TIGR03876	CRISPR type I-A/APERN-associated protein CsaX
TIGR03877	KaiC domain protein, Ph0284 family
TIGR03878	KaiC domain protein, AF_0795 family
TIGR03879	probable regulatory domain
TIGR03880	KaiC domain protein, AF_0351 family
TIGR03881	KaiC domain protein, PAE1156 family
TIGR03882	bacteriocin biosynthesis cyclodehydratase domain
TIGR03883	uncharacterized protein, coenzyme F420 biosynthesis associated
TIGR03884	selenium-binding protein
TIGR03885	probable non-F420 flavinoid oxidoreductase
TIGR03886	spore photoproduct lyase family protein
TIGR03887	thiocyanate hydrolase, gamma subunit
TIGR03888	nitrile hydratase, beta subunit
TIGR03889	nitrile hydratase accessory protein
TIGR03890	nif11 domain/cupin domain protein
TIGR03891	thiopeptide-type bacteriocin biosynthesis domain
TIGR03892	thiazolylpeptide-type bacteriocin precursor
TIGR03893	type 2 lantibiotic, SP_1948 family
TIGR03894	conserved hypothetical protein, TIGR03894 family
TIGR03895	cyanobactin maturation protease, PatA/PatG family
TIGR03896	bacteriocin-type transport-associated protein
TIGR03897	type 2 lantibiotic biosynthesis protein LanM
TIGR03898	type 2 lantibiotic, mersacidin/lichenicidin family
TIGR03899	TIGR03899 family protein
TIGR03900	putative carboxyl-terminal-processing protease, deltaproteobacterial
TIGR03901	MYXO-CTERM domain
TIGR03902	rhombosortase
TIGR03903	TOMM system kinase/cyclase fusion protein
TIGR03904	uncharacterized radical SAM protein YgiQ
TIGR03905	uncharacterized protein TIGR03905
TIGR03906	quinohemoprotein amine dehydrogenase maturation protein
TIGR03907	quinohemoprotein amine dehydrogenase, beta subunit
TIGR03908	quinohemoprotein amine dehydrogenase, alpha subunit
TIGR03909	pyrrolysine biosynthesis protein PylC
TIGR03910	pyrrolysine biosynthesis radical SAM protein
TIGR03911	pyrrolysine biosynthesis protein PylD
TIGR03912	pyrrolysine--tRNA ligase, N-terminal region
TIGR03913	Y_X(10)_GDL-associated radical SAM protein
TIGR03914	uracil-DNA glycosylase family domain
TIGR03915	probable DNA metabolism protein
TIGR03916	putative DNA modification/repair radical SAM protein
TIGR03917	Frankia-40 domain
TIGR03918	[FeFe] hydrogenase H-cluster maturation GTPase HydF
TIGR03919	type VII secretion protein EccB
TIGR03920	type VII secretion integral membrane protein EccD
TIGR03921	type VII secretion-associated serine protease mycosin
TIGR03922	type VII secretion AAA-ATPase EccA
TIGR03923	type VII secretion protein EccE
TIGR03924	type VII secretion protein EccCa
TIGR03925	type VII secretion protein EccCb
TIGR03926	type VII secretion protein EssB
TIGR03927	type VII secretion protein EssA
TIGR03928	type VII secretion protein EssC
TIGR03929	type VII secretion protein EsaA
TIGR03930	WXG100 family type VII secretion target
TIGR03931	type VII secretion-associated protein, Rv3446c family
TIGR03932	intracellular adhesion protein D
TIGR03933	intercellular adhesin biosynthesis polysaccharide N-deacetylase
TIGR03934	TQXA domain
TIGR03935	fragilysin
TIGR03936	radical SAM-linked protein
TIGR03937	poly-beta-1,6 N-acetyl-D-glucosamine synthase
TIGR03938	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB
TIGR03939	poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA
TIGR03940	poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis protein PgaD
TIGR03941	putative tRNA adenosine deaminase-associated protein
TIGR03942	anaerobic sulfatase maturase
TIGR03943	TIGR03943 family protein
TIGR03944	2,3-diaminopropionate biosynthesis protein SbnB
TIGR03945	2,3-diaminopropionate biosynthesis protein SbnA
TIGR03946	arginine beta-hydroxylase, Fe(II)/alpha-ketoglutarate-dependent
TIGR03947	capreomycidine synthase
TIGR03948	butyryl-CoA:acetate CoA-transferase
TIGR03949	class IIb bacteriocin, lactobin A/cerein 7B family
TIGR03950	siderophore ferric iron reductase, AHA_1954 family
TIGR03951	siderophore-iron reductase FhuF
TIGR03952	zinc-dependent metalloproteinase lipoprotein, BF0631 family
TIGR03953	50S ribosomal protein L4
TIGR03954	integral membrane protein
TIGR03955	[FeFe] hydrogenase H-cluster radical SAM maturase HydG
TIGR03956	[FeFe] hydrogenase H-cluster radical SAM maturase HydE
TIGR03957	5,10-methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein HmdB
TIGR03958	5,10-methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein HmdC
TIGR03959	putative iron-only hydrogenase system regulator
TIGR03960	radical SAM family uncharacterized protein
TIGR03961	archaeal radical SAM protein, PTO1314 family
TIGR03962	mycofactocin radical SAM maturase
TIGR03963	putative 7-cyano-7-deazaguanosine (preQ0) biosynthesis protein QueE
TIGR03964	mycofactocin system creatininase family protein
TIGR03965	mycofactocin system glycosyltransferase
TIGR03966	heme/flavin dehydrogenase, mycofactocin system
TIGR03967	putative mycofactocin binding protein MftB
TIGR03968	mycofactocin system transcriptional regulator
TIGR03969	mycofactocin precursor
TIGR03970	dehydrogenase, Rv0697 family
TIGR03971	SDR family mycofactocin-dependent oxidoreductase
TIGR03972	wyosine biosynthesis protein TYW1
TIGR03973	six-cysteine peptide SCIFF
TIGR03974	SCIFF radical SAM maturase
TIGR03975	bacteriocin maturation radical SAM protein 1
TIGR03976	His-Xaa-Ser system protein HxsD
TIGR03977	His-Xaa-Ser system radical SAM maturase HxsC
TIGR03978	His-Xaa-Ser system radical SAM maturase HxsB
TIGR03979	His-Xaa-Ser repeat protein HxsA
TIGR03980	hybrid cluster protein-associated redox disulfide domain
TIGR03981	His-Xaa-Ser system putative quinone modification maturase
TIGR03982	His-Xaa-Ser system protein, TIGR03982 family
