UDPNACETYLGLUCOSAMACYLTRANS-ENZRXN	UDP-N-acetylglucosamine acyltransferase
ENZRXN-18265	D-<i>threo</i>-3-hydroxyaspartate ammonia-lyase
ENZRXN-13280	chlorophyllase
ALDOSE1EPIM-ENZRXN	galactose-1-epimerase
ENZRXN-16185	3-chloro-6-fluorocatechol 1,2-dioxygenase
ENZRXN-7625	pseudobaptigenin,NADPH:oxygen oxidoreductase (2-hydroxylating)
ENZRXN66-19620	7s-hydroperoxy,17R-H-DHA synthase
ENZRXN-14	arginine decarboxylase
ENZRXN1F-1169	S-methylmethionine:homocysteine S-methyltransferase
ENZRXN-18429	dissimilatory sulfite reductase
ENZRXN-18953	1,4-&alpha;-D-glucan maltohydrolase
ENZRXN-20115	paromamine kanosaminyltransferase
ENZRXN-18319	&beta;-D-mannose-(1,4)-&beta;-D-glucoronate-(1,2)-&alpha;-6-<i>O</i>-acetyl-D-mannosyl-(1,3)-&beta;-D-glucosyl-(1,4)-&alpha;-D-glucosyl-diphosphoundecaprenol enolpyruvate transferase
ENZRXN-11973	<i>ent</i>-kaur-16-ene oxidase
ENZRXN-14266	sepiapterin reductase
ENZRXN-11466	UDP-glucuronate decarboxylase
ENZRXN66-17683	sodium independent leucine plasma membrane transport
ENZRXN1A0-6324	Flavin:NADPH oxidoreductase
ENZRXN-18052	chondroitin B lyase
ENZRXN-20174	propanediol dehydratase
ENZRXN-20829	propanal dehydrogenase
ENZRXN-3684	indole-3-glycerol phosphate synthase
ENZRXN-13221	1-18:2-2-18:1-phosphatidylcholine desaturase
ENZRXN-16627	(E)-beta-caryophyllene synthase
ENZRXN-12446	UDP-glucose:hesperitin-7-O-&beta;-D-glucosyltransferase
ENZRXN-18045	<i>N</i>-acetylglucosamine-6-sulfatase
ENZRXN-11201	myo-inositol-hexakisphosphate 4-phosphohydrolase
ENZRXN-4061	indole-3-acetyl-&beta;-1-D-glucoside:<i>myo</i>-inositol indoleacetyltransferase
ENZRXN-2805	4-nitrotoluene monooxygenase
ENZRXN-7042	(-)-limonene-3-hydroxylase
ENZRXN-13506	2-hydroxymuconate tautomerase
ENZRXN0-7670	8-oxo-GTP-diphosphatase
ENZRXN-2790	histidinol phosphate aminotransferase
ENZRXN-20481	pyrethrin I synthase
ENZRXN-18804	thiocyanate methyltransferase
ENZRXN-13566	terpinolene synthase
ENZRXN-12379	D-glycerate 3-kinase
ENZRXN0-6443	murein hydrolase
ENZRXN-14206	6-amino-<i>m</i>-cresol 1,6-dioxygenase
ENZRXN-15657	dibenzofuran 4,4a-dioxygenase
ENZRXN0-6429	ThDP adenylyl transferase
RIBOFLAVINSYNDEAM-ENZRXN	diaminohydroxyphosphoribosylaminopyrimidine deaminase
ENZRXN-15715	3-chlorocatechol 1,2-dioxygenase
ENZRXN-13883	4-benzoquinone reductase
ENZRXN-6541	5-<i>epi</i>-aristolochene 1-hydroxylase
ENZRXN-18731	NAD<sup>+</sup>-dependent L-rhamnofuranose 1-dehydrogenase
ENZRXN-15434	UDP-glucose:2-hydroxylamino-4,6-dinitrotoluene-C-glucosyltransferase
ENZRXN-15427	UDP-glucose:2-amino-4,6-dinitrotoluene-glucosyltransferase
ENZRXN-16557	geranylgeranyl diphosphate diphosphatase
ENZRXN-19708	renilla-luciferin 2-monooxygenase
ENZRXN-19767	cholesterol oxidase
ENZRXN-17987	brassinolide C-26 hydroxylase
ENZRXN5F9-2376	2,3-dihydroxybiphenyl 1,2-dioxygenase
ENZRXN3O-1296	thymidylate kinase
ENZRXN-6344	isoflavone-7-O-glucoside &beta;-glucosidase
ENZRXN-19448	acetoacetyl-CoA reductase
ENZRXN-19457	3-oxohexanoyl-CoA thiolase
ACETOLACTSYNIII-ENZRXN	acetolactate synthase
ENZRXN-20415	oxaloacetate/malate antiporter
ENZRXN-11867	glutamate decarboxylase
ENZRXN-2543	2-oxo-1,2-dihydroquinoline 5,6 dioxygenase
ENZRXN-10464	(gibberellin-20),2-oxoglutarate:oxygen oxidoreductase (3&beta;-hydroxylating)
ENZRXN-16376	indole-3-acetyl-tryptophan synthetase
ENZRXN-21542	maltose transporter
ENZRXN3DJ-35470	D-glucuronate reductase
ENZRXN-11923	ferrochelatase
ENZRXN-21549	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase
ENZRXN-13816	glycine cleavage complex
ENZRXN-13113	L-lysine:pyruvate aminotransferase
ENZRXN0-6292	alanine racemase
THREDEHYDCAT-ENZRXN	threonine dehydratase
ENZRXN-12243	6,7,4'-trihydroxyflavanone,NADPH:oxygen oxidoreductase
ENZRXN-20278	triterpene methyltransferase
ENZRXN-13175	1-18:1-2-16:2-monogalactosyldiacylglycerol synthase
ENZRXN-16208	maleylacetate reductase
THYMIDYLATESYN-ENZRXN	thymidylate synthase
ENZRXN3O-80	pyruvate carboxy-lyase
ENZRXN0-7444	palmitoyl-[acyl-carrier-protein] reductase
ENZRXN-12875	saccharopine dehydrogenase
ENZRXN-15350	acetoin dehydrogenase
ENZRXN0-7598	chito-oligosaccharide mono-deacetylase
ENZRXN-1862	phenylpyruvate decarboxylase
ENZRXN-4622	1,3-propanediol dehydrogenase
ENZRXN-18343	poly[<i>R</i>)-3-hydroxydecanoate polymerase
ENZRXN-12883	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
ENZRXN-14966	2'-deoxymugineic acid,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)
ENZRXN-10141	glutathione synthetase
NUCLEOSIDE-DIP-KIN-ENZRXN	nucleoside diphosphate kinase
PNP-ENZRXN	purine nucleoside phosphorylase
ENZRXN-17600	peptidoglycan-<i>N</i>-acetylglucosamine deacetylase
ENZRXN-597	gibberellin A4,2-oxoglutarate:oxygen oxidoreductase
ENZRXN-13657	(<i>3R</i>)-(<i>E</i>)-nerolidol synthase
ENZRXN-202	nitrogenase
GALACTUROISOM-ENZRXN	D-galacturonate isomerase
ENZRXN-14974	(1S,4R)-iso-dihydrocarvone monooxygenase
ENZRXN-17939	caffeine oxidase
ENZRXN-12177	coproporphyrinogen III oxidase
ENZRXN-17886	glycocholate hydrolase
ENZRXN-19391	gingerol synthase
ENZRXN1G-395	trans-methoxy-meroacyl-AMP:2-carboxyl-cerotoyl-CoA 4'-phosphopentetheinyl transferase
ENZRXN-15815	&Delta;<sup>8</sup>-sphingolipid desaturase
ENZRXN-17662	peptidoglycan L,D-transpeptidase
ENZRXN-4221	S-formylglutathione hydrolase
ENZRXN-2344	chlorohydroquinone 1,2-dioxygenase
GCVP-ENZRXN	glycine decarboxylase
ENZRXN-18558	3,3'-diiodothyronine 3-deiodinase
ENZRXN-21765	oleate 12-hydroxylase
ENZRXN-21481	phosphoribosylformylglycinamidine cyclo-ligase
ENZRXN0-2584	tRNA-specific 2-thiouridylase
ENZRXN-16095	phosphoribosylglycinamide formyltransferase
ENZRXN-19879	carbon monoxide dehydrogenase (hydrogen-forming)
ENZRXN0-6228	lipopolysaccharide glucosyltransferase
ENZRXN-13591	&beta;-longipinene synthase
ENZRXN-17669	<i>N</i><SUP>4</SUP>-hydroxy-1-aminopropane <i>O</i>-acetyltransferase
ENZRXN-5481	isoflavone 3'-hydroxylase
ENZRXN0-6142	DNA polymerase
ENZRXN-17245	UDP-N-acetylenolpyruvylglucosamine reductase
ENZRXN-1282	citramalate hydrolyase
ENZRXN-15288	gramicidin S synthase
ENZRXN-18240	aspartate aminotransferase
BRANCHED-CHAINAMINOTRANSFERLEU-ENZRXN	leucine transaminase
ENZRXN-15739	4-chloro-2-methyl-<i>cis,cis</i>-muconate dehalogenase
ENZRXN0-261	allulose-6-phosphate 3-epimerase
ENZRXN-21117	3,6,7,2',4'-pentamethylquercetagetin 3'-<i>O</i>-glucosyltransferase
ENZRXN1G-1657	arabinogalactan:trehalose-trans-keto-mycolate mycolyltransferase
ENZRXN-1522	ethylbenzene dehydrogenase
ENZRXN-17544	phenylacetaldehyde dehydrogenase
ENZRXN-14898	2,3-dihydroxybenzoate-AMP ligase
ENZRXN-20088	hydroxymethylglutaryl-CoA reductase
ENZRXN-12019	geranylgeranyl pyrophosphate synthase
ENZRXN-19792	3-oxo-23,24-bisnorchol-4-en-17-ol-22-oyl-CoA lyase
ENZRXN-8802	<i>S</i>-adenosylhomocysteine hydrolase
ENZRXN-17252	phospho-N-acetylmuramoyl-pentapeptide-transferase
ENZRXN-19333	16S rRNA (cytidine<sup>1409</sup>-2'-<i>O</i>)-methyltransferase
ENZRXN-17482	(-)-limonene-7-hydroxylase
ENZRXNQT-9635	2-(5'-methylthio)pentylmalate synthase
ENZRXN-16033	creatine kinase
ENZRXN-3563	coumaryl alcohol dehydrogenase
ENZRXN-13267	1-18:2-2-16:0-digalactosyldiacylglycerol desaturase
ENZRXN-14508	3-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propanoyl-CoA vanillin-lyase (acetyl-CoA-forming)
ACYLCOADEHYDROG-ENZRXN	acyl-CoA dehydrogenase
ENZRXN-21126	acetyl-CoA:sophorosyloxyfatty acid acetyltransferase
ENZRXN-21433	pyridoxamine 5'-phosphate oxidase
ENZRXN-19270	justicidin B 7-hydroxylase
ENZRXN0-1981	ribonuclease
ENZRXN-18177	<i>S</i>-sulfolactate dehydrogenase
ENZRXN-20714	UDP-<i>N</i>-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
ENZRXN-13479	linoleate 13S-lipoxygenase
ENZRXN-18419	<i>N,N</i>-dihydroxy-L-valine decarboxylase
ENZRXN-12767	&delta;-carotene &epsilon;-cyclase
ENZRXN-11950	coniferin &beta;-glucosidase
ENZRXN-8824	propionyl-CoA carboxylase
ENZRXN-21357	cytochrome <i>c</i> peroxidase
ENZRXN66-867	3-hydroxybutyrate dehydrogenase
ENZRXN66-670	inositol 1,4-bisphosphate 1-phosphatase
ENZRXN-2002	deoxycholyl-CoA oxidoreductase
ENZRXN-14847	4,4'-diaponeurosporenoate glycosyltransferase
ENZRXN-15631	maleylacetate reductase
ENZRXN0-963	protein-methionine-S-oxide reductase
ENZRXN-13199	1-18:2-2-18:3-digalactosyldiacylglycerol desaturase
ENZRXN-14515	2-methylcitrate dehydratase
ENZRXN-141	butanal dehydrogenase
ENZRXN-12702	isoliquiritigenin 4'-glucosyltransferase
ENZRXNQT-6800	acetoacetyl-CoA thiolase
ENZRXN-17180	D-myo-inositol 1:2-cyclic phosphate 2-phosphohydrolase
ENZRXN-3282	(<i>S</i>)-6-hydroxynicotine oxidase
ENZRXN-19682	androst-4-en-3,17-dione 1-dehydrogenase
ENZRXN-18035	glucuronylgalactosylproteoglycan 4-&beta;-<i>N</i>-acetylgalactosaminyltransferase
ENZRXN0-7633	murein LD-carboxypeptidase
ENZRXN66-19672	L-glutamate &gamma;-semialdehyde dehydrogenase
ENZRXN-20720	vicianin hydrolase
ENZRXN0-1307	lipoate acetyltransferase
ENZRXN-14787	isoeugenol synthase
ENZRXN-19178	XLLG xyloglucan oligosaccharide &beta;-galactosidase
ENZRXN-1341	<i>N</i>-acetylornithinase
ENZRXN-11826	(S)-4-hydroxymandelate racemase
ENZRXN-2744	phosphate acetyltransferase
ENZRXN-12474	1-deoxy-D-xylulose 5-phosphate synthase
PSII-ENZRXN	guanosine-3',5'-bis(diphosphate) 3'-diphosphatase
ENZRXN66-927	prostaglandin D synthase
ENZRXN66-578	3-ketoacyl-CoA thiolase
ENZRXNQT-12838	<i>(E,E)</i>-&alpha;-farnesene synthase
ENZRXN-21058	Fe hydrogenase assembly
ENZRXN-15567	4-&alpha;-methylzymosterol,NAD(P)H:oxygen oxidoreductase (hydroxylating)
ENZRXN-18832	D-pinitol dehydrogenase
ENZRXN-13083	UDP-D-glucose:delphinidin 3-<i>O</i>-glucosyl-5-<i>O</i>-caffeoylglucoside -O-&beta;-D-glucosyltransferase
ENZRXN0-6405	allothreonine acetaldehyde-lyase (glycine-forming)
ENZRXN-17132	inositol hexakisphosphate 3-kinase
ENZRXN-17962	germacrene A oxidase
ENZRXN-14107	cobinamide adenosyltransferase
ENZRXN-9851	gibberellin-24 dioxygenase
ENZRXN-6802	aspartate kinase
ENZRXN-844	gibberellin A1,2-oxoglutarate:oxygen oxidoreductase
ENZRXN-19615	ecto apyrase
ENZRXN-19126	7,8-dihydro-D-neopterin 2',3'-cyclic phosphate phosphodiesterase (7,8-dihydroneopterin 2'-phosphate-forming)
ENZRXN0-7415	cytidine nucleosidase
ENZRXN-15416	UDP-glucose:2-hydroxylamino-4,6-dinitrotoluene-O-glucosyltransferase
ENZRXN-2428	GDP-D-mannose pyrophosphorylase
ENZRXN66-2012	Cytochrome P450 19A1
ENZRXN3O-149	C-14 sterol reductase
ENZRXN66-4572	cytidine kinase
ENZRXN-21010	cephaeline O-methyltransferase
ENZRXN-14451	germacrene A synthase
ENZRXN-11556	peptidylarginine deiminase
MHPHYDROXY-ENZRXN	3-(3-hydroxyphenyl)propionate 2-hydroxylase
ENZRXN-19435	<i>N,N'</i>-diacetylchitobiose synthase
ENZRXN0-6261	&beta;-phosphoglucomutase
ENZRXN-16404	maleylpyruvate isomerase
ENZRXN-12482	hydroxymethylglutaryl CoA synthase
ENZRXN-8123	L-tryptophan aminotransferase
ENZRXN-17073	inositol-monophosphate monophosphatase
ENZRXN-16790	3-hydroxyanthranilate 3,4-dioxygenase
ENZRXN-13018	siroheme amidase
ENZRXN-17858	lipoyl-adenylate-protein ligase
ENZRXN-21531	5-deoxy-D-glucuronate isomerase
ENZRXN-20305	3-oxo-arachidoyl-CoA reductase
ENZRXN-15316	amygdalin hydrolase
ENZRXN-16853	demethyl-phosphinothricin <i>N</i>-acetyltransferase
ENZRXN-14394	allophanate hydrolase
ENZRXN-19065	soyasapogenol B glucuronide galactosyltransferase
ENZRXN-20656	geranyl acetate esterase (GAE-I)
ENZRXN0-7332	tyrosine aminotransferase
ENZRXN-4902	chalcone isomerase (CHI-2)
ENZRXN-21736	aldehyde dehydrogenase
TDCEPYFORMLY-ENZRXN	pyruvate formate-lyase
ENZRXN-16742	OPC8-3-hydroxyacyl-CoA dehydrogenase
ENZRXN-17568	&beta;-lactamase
ENZRXN-18842	fructan 6 dehydrolase
ENZRXN-20953	quercetin-3-<i>O</i>-glucosyltransferase
ENZRXN-13692	GDP-D-mannose dehydratase
ENZRXN-14040	D-xylulose kinase
INORGPYROPHOSPHAT-ENZRXN	inorganic pyrophosphatase
ENZRXN-20604	dihydroartemisinic aldehyde oxidase
ENZRXN0-5701	methylglyoxal reductase
ENZRXN-12864	ribitol dehydrogenase
ENZRXN-19361	linoleate 13S-lipoxygenase
ENZRXN-683	adenylylsulfate kinase
ENZRXN-15911	cis,cis-delta5,23-3-hydroxyC42:2-[acyl-carrier protein] dehydratase
ENZRXN-7857	L-peptidase
ENZRXN-13993	pyridoxal 4-dehydrogenase
ENZRXN66-19204	3-ketoacyl-CoA thiolase, peroxisomal
ENZRXN-17797	CYP83B1 monooxygenase
ENZRXN-15189	<i>N</i>-hydroxyisoleucine <i>N</i>-monooxygenase
ENZRXN-14955	(1S,2R,4S)-neo-dihydrocarveol dehydrogenase
ENZRXN-21456	multiradiene synthase
ENZRXN-19906	erythromycin D 3''-<i>o</i>-methyltransferase
ENZRXN-16410	jasmonoyl-valine synthetase
ENZRXN66-17669	Sodium independent phenylalanine transport
ENZRXN-14320	squalene epoxidase
ENZRXN-11302	creatinase
ENZRXN-21671	cyanidin 3-<i>O</i>-glucoside 7-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
ENZRXN-17452	dihydrouracil dehydrogenase
FUCULOKIN-ENZRXN	L-fuculokinase
CYCPHOSDIESTER-ENZRXN	2',3'-cyclic nucleotide 2'-phosphodiesterase
ENZRXN-12795	geranyl pyrophosphate synthase
ENZRXN-20312	3-oxo-behenoyl-CoA synthase
ENZRXN-11165	3-phenylpropionylCoA dehydrogenase
ENZRXN-16678	hydroxyneurosporene desaturase
ENZRXN-12419	glutamate mutase
ENZRXN0-4501	alkaline phosphatase aminopeptidase
ENZRXN-12046	(gibberellin-14), 2-oxoglutarate:oxygen oxidoreductase
ENZRXN-19244	&beta;-agarase
ENZRXN0-2566	3-hydroxyacyl-CoA dehydrogenase
ENZRXN-12372	NAD kinase
ENZRXN-14873	&gamma;-tocopherol methyltransferase
ENZRXN-4944	5,10-methylene-tetrahydrofolate:L-glutamate &gamma;-ligase (ADP-forming)
ENZRXN-20527	11&alpha;-30-dihydroxy &beta;-amyrin dehydrogenase
ENZRXN-13301	trans-&Delta;12-oleic acid desaturase
ENZRXN-18774	malate synthase
ENZRXN-15113	4-hydroxy-5-methyl-2-propyl-3(2H)-furanone oxidoreductase
ENZRXN-18724	succinylo-toyocamycin phosphate synthase
ENZRXN-21329	eriodictyol dibenzoylmethane tautomer 8C-glucosyltransferase
ENZRXN66-747	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase
ENZRXNQT-7356	long-chain-fatty-acid-CoA ligase
ENZRXN-13699	CDP-diacylglycerol:L-serine O-phophatidyltransferase
ENZRXN-18446	4&alpha;-carboxy-ergosta-7,24(24<sup>1</sup>)-dien-3&beta;-ol hydroxysteroid dehydrogenase / C4-decarboxylase
ENZRXN-13927	cyclohexylamine oxidase
ENZRXN-6309	<i>trans</i>-zeatin:FAD oxidoreductase
ENZRXN-6421	dihydrozeatin UDP glycosyltransferase
ENZRXN-17391	hydrazine hydrolase
ENZRXN-12671	UDP-D-glucose:cyanidin 3-O-&beta;-D-glucosyltransferase
ENZRXN-17226	pre-alcaligin cyclase
ENZRXN0-1604	O-6-methylguanine-DNA methyltransferase
ENZRXN1F-1635	protoporphyrinogen oxidase
ENZRXN-15918	3-cis,cis-delta11,29-3-hydroxyC48:2-[acyl-carrier protein] dehydratase
ENZRXN3DJ-33469	sphingomyelin phosphodiesterase
ENZRXN66-1336	nucleoside diphosphate phosphohydrolase
ENZRXN3O-11047	ubiquinol-cytochrome C oxidoreductase
ENZRXN-21247	1-methylthio-xylulose 5-phosphate sulfo-lyase
ENZRXN-14748	geraniol dehydrogenase
ENZRXN-21105	3,7-dimethylquercetin 6-hydroxylase
ENZRXN-18060	carboxynorspermidine dehydrogenase
ENZRXN66-5977	carnitine:fatty acyl CoA acyltransferase
ENZRXN-19913	dTDP-4,6-dihydroxy-2-methyloxan-3-one 4-ketoreductase
ENZRXN-16201	2,4,5-trichlorophenol-4-monooxygenase
ENZRXN-10841	UDP-glucose:curcumin glucosyltransferase
ENZRXN-16348	indole-3-acetonitrile nitrile hydratase
ENZRXN-12607	enoyl-CoA isomerase
ENZRXN-2841	ornithine carbamoyltransferase, catabolic
ENZRXNQT-12532	8-methylthiooctylglucosinolate S-oxygenase
ENZRXN-8762	sarcosine-dimethylglycine methyltransferase
ENZRXN-18336	fatty-acid peroxygenase
ENZRXN-17157	bis(diphospho)inositol tetrakisphosphate phosphohydrolase
ENZRXN3O-1524	malate synthase
ENZRXN-12296	isobutanol:NAD+ oxidoreductase
ENZRXN0-6479	ribose pyranase
ENZRXN-18394	(<i>E</i>)-&gamma;-bisabolene synthase
ENZRXN-14650	phenolic oxidative coupling protein
ENZRXN-20191	propionate kinase
ENZRXN-9761	asparaginase
ENZRXN-14495	malonate semialdehyde:NADP+ oxidoreductase (malonate semialdehyde-forming)
ENZRXN-19152	xyloglucan-specific endo-&beta;-1,4-glucanase
CYTIDEAM2-ENZRXN	cytidine deaminase
ENZRXN-15445	UDP-glucose:4-hydroxylamino-2,6-dinitrotoluene C-glucosyltransferase
ENZRXN-18662	vinylacetate caboxylester hydrolase
ENZRXN-4202	NAD- and glutathione-dependent formaldehyde dehydrogenase
ENZRXN-20241	palmitate&mdash;[acyl-carrier-protein] ligase
ENZRXNQT-10745	4-amino-2-methyl-5-hydroxymethylpyrimidine kinase
ENZRXN66-4135	4&alpha;-carboxy-4&beta;-methyl-5&alpha;-cholesta-8-en-3&beta;-ol:NAD(P)+ 3-oxidoreductase (decarboxylating)
ENZRXN-16835	phophonoacetaldehyde reductase
ENZRXN-19466	betaine aldehyde dehydrogenase
ENZRXN-21033	papaveroxine intermediate 4'-O-methyltransferase
ENZRXN-12053	(gibberellin-53), 2-oxoglutarate:oxygen oxidoreductase
ENZRXN-13584	(<i>E</i>)-&beta;-caryophyllene synthase
ENZRXN-6161	UDP-glucose:D-glucose-6-phosphate 1-&alpha;-D-glucosyltransferase
ENZRXN-4404	indole-3-acetyl-&beta;-4-D-glucose hydrolase
ENZRXN-949	mevalonate kinase
ENZRXN-17045	inositol-1,3,4,5-tetrakisphosphate 5-phosphatase
ENZRXN-20702	acetone cyanohydrin lyase (cyanide forming)
ENZRXN-21557	D-fructuronate reductase
ENZRXN-8302	lysine <i>N</i><sup>6</sup>-acetyltransferase
ENZRXN-15732	4-chloro-2-methyl-<i>cis,cis</i>-muconate dehalogenase
ENZRXN-13308	protein-<i>S</i>-isoprenylcysteine <i>O</i>-methyltransferase
ENZRXN1G-667	trehalose-trans-methoxy-mono-mycolate transporter
ENZRXN-13629	<i>cis</i>-1,2-dihydro-1,2-dihydroxynaphthalene-1, 2-dehydrogenase
ENZRXN66-3378	phosphatidylinositol-4-phosphate 5-kinase
TRANSALDOLB-ENZRXN	transaldolase
ENZRXN-19036	farnesol kinase
ENZRXN-14088	L-threonine kinase
ENZRXN-19785	TRIBOA-glucoside methyltransferase
ENZRXN-14426	cyanurate amidohydrolase
ENZRXN-18454	protein-thiocysteine-sulfate hydrolase
ENZRXN-12893	thiohydroximate-O-sulfate sulfohydrolase (nitrile-forming)
ENZRXN-16146	5-chloro-muconolactone isomerase
ENZRXN-15783	taraxeol synthase
ENZRXN-16976	NokD monooxygenase
ACONITATEHYDR-ENZRXN	D-threo-isocitrate hydro-lyase (cis-aconitate-forming)
ENZRXN-20921	omega-hydroxypalmitate O-feruloyl transferase
ENZRXN66-19644	malate dehydrogenase
ENZRXN-16765	arginase
ENZRXN1F-2550	epi-sterol-desaturase
ENZRXN-14985	mugineic acid,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)
ENZRXN-18280	farnesoate methyltransferase
ENZRXN-11943	2,5-dihydroxypyridine dioxygenase
ENZRXN-19839	<i>N</i>-demethyllincomycin methyltransferase
ENZRXN-18973	mannanase
ENZRXN-7743	2,7,5-trihydroxy-4'-methoxyisoflavanone dehydratase
ENZRXN-12463	isocitrate dehydrogenase
GLCNACPTRANS-ENZRXN	undecaprenyl-phosphate &alpha;-N-acetylglucosaminyl transferase
ENZRXN-20632	3-methoxy-5-hydroxytoluene <i>O</i>-methyltransferase
ENZRXN-18067	dermatan sulfate endolyase
ENZRXN-13191	1-18:1-2-16:2-monogalactosyldiacylglycerol desaturase
ENZRXN-20132	2'-deamino-2'-hydroxyparomamine 6'-oxidase
ARABISOM-ENZRXN	L-arabinose isomerase
ENZRXN-2085	<i>threo</i>-isohomocitrate dehydrogenase
ENZRXN-14283	phenylpropanoyltransferase
ENZRXN-1882	phenyl phosphate carboxylase
ENZRXN-17681	thebaine 6-<i>O</i>-demethylase
ENZRXN-14018	uroporphyrinogen-III (<i>C</i><sup>2</sup>)-methyltransferase
ENZRXN0-7625	2-keto-L-gulonate reductase
ENZRXN-2863	glucose 6-phosphate isomerase
ENZRXN-3801	nitrite oxidoreductase
ENZRXN-11989	(gibberellin-12), 2-oxoglutarate:oxygen oxidoreductase
ENZRXN-7261	UDP-L-rhamnose synthase
ENZRXN0-2681	oligoribonuclease
ENZRXN-16641	oxalosuccinate reductase
ENZRXN-6621	<i>ent</i>-copalyl diphosphate synthase
PROTOHEMEFERROCHELAT-ENZRXN	ferrochelatase
ENZRXN66-1829	<i>N</i>-acetylglucosamine-6-sulfatase
ENZRXN0-6502	(2R,3S)-3-isopropylmalate hydro-lyase (2-isopropylmaleate-forming)
ENZRXN-17261	[(S)-acetoin forming]-(S,S)-2,3-butanediol dehydrogenase
ENZRXN-13527	&alpha;-pinene synthase
ENZRXN-13236	ethylnitronate monooxygenase
ENZRXN-14220	isopenicillin N synthase
ENZRXN-17954	7-methylxanthine demethylase
ENZRXN-20498	ornithine carbamoyltransferase
ENZRXN3O-1411	acetyl CoA synthetase
ENZRXN-11216	myo-inositol-hexakisphosphate 3-phosphohydrolase
ENZRXN-15452	methionine <i>S</i>-methyltransferase
ENZRXN-21136	patuletin 7-<i>O</i>-methyltransferase
ENZRXN-15671	3,4,6-trichlorocatechol 1,2-dioxygenase
ENZRXN-2421	2,5-dichloro-cis,cis-muconate dehalogenase
ENZRXN0-7689	phosphoethanolamine transferase
ENZRXN-16573	fusicocca-2,10(14)-diene synthase
ENZRXN-13900	pyruvate kinase
ENZRXN-16392	2-fluorobenzoate 1,2-dioxygenase
ENZRXN-887	gibberellin A44,2-oxoglutarate:oxygen oxidoreductase
ENZRXN-12396	(R)-citramalate synthase
ENZRXN-19474	4-methyl-2-oxopentanoate decarboxylase
ENZRXN0-6254	sugar phosphatase
ENZRXN-19728	3-ketosteroid 9&alpha;-hydroxylase
SERINE-O-ACETTRAN-ENZRXN	serine acetyltransferase
ENZRXN-20431	oleate ethyl ester synthase
ENZRXN66-1048	Long-chain-fatty-acid--CoA ligase 6
ENZRXN-20294	trans-arachidon-2-enoyl-CoA reductase
ENZRXN-14525	succinyl-CoA:citramalate CoA transferase
ENZRXN-18749	dimethylsulfoniopropionate lyase
ENZRXN-15303	(<i>R</i>)-3-hydroxybutanoyl-[acp] dehydratase
ENZRXN-21564	D-psicose 3-epimerase
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-ENZRXN	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase
ENZRXN-18005	UDP-arabinopyranose mutase
ENZRXN-13836	(E)-cinnamoyl-CoA:tyramine N-(hydroxycinnamoyl)transferase
ENZRXN-20729	glucose oxidase
ENZRXN-10584	MTR kinase
ENZRXN-4801	2,7,4-trihydroxyisoflavanone hydro-lyase (daidzein-forming)
ENZRXN-17561	fenchene dehydrogenase
ENZRXN-6393	<i>trans</i>-zeatin-<i>O</i>-glucoside UDP glycosyltransferase
TRIOSEPISOMERIZATION-ENZRXN	triose phosphate isomerase
ENZRXN6666-4125	catechol <i>O</i>-methyltransferase
ENZRXN-11883	arginine oxidase
ENZRXN-261	D-lactate dehydrogenase
ENZRXN3O-967	GTP cyclohydrolase
ENZRXN-19353	phosphonoacetaldehyde dehydrogenase
ENZRXN-12261	enolase
ENZRXN-13675	6-phosphofructokinase
ENZRXN3O-1026	3-dehydroquinate dehydratase
ENZRXN-12903	phosphatidylglycerolphosphate phosphatase
ENZRXN-14117	dihydrogeranylgeranyl-bacteriochlorophyll <i>a</i> reductase
ENZRXN-13132	quercetin-3-glucoside-glucosyltransferase
ENZRXN-2145	DCD dehydrogenase
ENZRXN0-6314	acylphosphatase
ENZRXN-10245	5-oxo-L-prolinase
ENZRXN-18634	4&alpha;-hydroxymethyl-5&alpha;-cholesta-7,24-dien-3&beta;-ol-4&alpha;-methyl oxidase
ENZRXN-15900	cis-delta21-3-hydroxyC40:1-[acyl-carrier protein] dehydratase
ENZRXN66-2107	phosphatidylinositol synthase
ENZRXN-16223	indole-3-acetamide amidohydrolase
ENZRXN-14993	4-isopropenyl-7-methyloxepan-2-one hydrolase
ENZRXN-12785	prolycopene isomerase
ENZRXN0-7480	phospholipase A2
ENZRXN-15377	malonate decarboxylase acetyl-[acp]:malonate-[acp] transferase
ENZRXN-12194	magnesium chelatase
ENZRXN-6064	long-chain fatty alcohol oxidase
ENZRXN-19895	[Co(II) methylamine-specific corrinoid protein] reductase
ENZRXN-12493	farnesyltransferase
ENZRXN-18366	(Z)-2-methylpropanal-oxime dehydratase
ENZRXN-14867	2-methyl-6-solanyl-1,4-benzoquinone methyltransferase
GLUCONOKINII-ENZRXN	D-gluconate kinase
