"Additional file 1 - List of reactions, genes and metabolites included in the R. ferrireducens in silico model"						
						
List of intracellular reactions						
						
Abbreviation	Name	Equation	Confidence	Subsystem	Gene	Protein
PGSA_EC	Phosphatidylglycerol synthase (Ecoli)	[c] : (0.02) cdpdag_EC + glyc3p <==> cmp + h + (0.02) pgp_EC	3	Membrane Lipid Metabolism	Rfer_2245	PgsA
PSD_EC	Phosphatidylserine decarboxylase (Ecoli)	[c] : h + (0.02) ps_EC --> co2 + (0.02) pe_EC	3	Membrane Lipid Metabolism	Rfer_0607	Psd
PSSA_EC	Phosphatidylserine syntase (Ecoli)	[c] : (0.02) cdpdag_EC + ser-L <==> cmp + h + (0.02) ps_EC	2	Membrane Lipid Metabolism	Rfer_2496	PssA
AHCYSNS	adenosylhomocysteine nucleosidase	[c] : ahcys + h2o --> ade + rhcys	1	Methionine Metabolism		
CYSTL	cystathionine b-lyase	[c] : cysth-L + h2o --> hcys-L + nh4 + pyr	3	Methionine Metabolism	Rfer_2294	MetC
DHPTDC	"4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)"	[c] : dhptd --> h2o + hmfurn	1	Methionine Metabolism		
METAT	methionine adenosyltransferase	[c] : atp + h2o + met-L --> amet + pi + ppi	3	Methionine Metabolism	Rfer_3880	MetK
METS	methionine synthase	[c] : 5mthf + hcys-L --> h + met-L + thf	3	Methionine Metabolism	Rfer_0466	MetH
METTRS	Methionyl-tRNA synthetase	[c] : atp + met-L + trnamet --> amp + mettrna + ppi	3	Methionine Metabolism	Rfer_3275	MetS
RHCCE	S-ribosylhomocysteine cleavage enzyme	[c] : rhcys --> dhptd + hcys-L	1	Methionine Metabolism		
GLYOX	hydroxyacylglutathione hydrolase	[c] : h2o + lgt-S --> gthrd + h + lac-D	3	Methylglyoxal Metabolism	Rfer_1462	GloB
LGTHL	lactoylglutathione lyase	[c] : gthrd + mthgxl --> lgt-S	3	Methylglyoxal Metabolism	Rfer_2552	GloA
ALLTAH	allantoicase	[c] : alltt + h2o --> urdglyc + urea	3	Nitrogen	Rfer_0158	AllC
CYNTAH	Cyanate aminohydrolase	[c] : cynt + (3) h + hco3 --> (2) co2 + nh4	2	Nitrogen	Rfer_3739	CynS
DDGALK	2-dehydro-3-deoxygalactonokinase	[c] : 2dh3dgal + atp --> 2dh3dgal6p + adp + h	3	Nitrogen	Rfer_0949	DgoK
NH4OHD	NH4OH dissociation	[c] : h + nh4oh <==> h2o + nh4	2	Nitrogen Metabolism		
AICART	phosphoribosylaminoimidazolecarboxamide formyltransferase	[c] : 10fthf + aicar <==> fprica + thf	3	Nucleotide Metabolism	Rfer_1582	PurH
ASPCT	aspartate carbamoyltransferase	[c] : asp-L + cbp --> cbasp + h + pi	3	Nucleotide Metabolism	Rfer_1380	PyrB
CSND	Cytosine deaminase	[c] : csn + h + h2o --> nh4 + ura	2	Nucleotide Metabolism	Rfer_2286	YaaJ
DGTPH	dGTPase	[c] : dgtp + h2o --> dgsn + pppi	3	Nucleotide Metabolism	Rfer_2927	Dgt
DTMPK	dTMP kinase	[c] : atp + dtmp <==> adp + dtdp	2	Nucleotide Metabolism	Rfer_2255	Tmk1
IMPC	IMP cyclohydrolase	[c] : h2o + imp <==> fprica	3	Nucleotide Metabolism	Rfer_1582	PurH
IMPD	IMP dehydrogenase	[c] : h2o + imp + nad --> h + nadh + xmp	3	Nucleotide Metabolism	Rfer_2288	GuaB
ITPASE	dITP pyrophosphatase	[c] : ditp + h2o --> dimp + ppi	2	Nucleotide Metabolism	Rfer_1630	IxpP
MCSNAH1r	5-Methylcytosine aminohydrolase	[c] : 5mcsn + h + h2o <==> nh4 + thym	2	Nucleotide Metabolism	Rfer_2286	YaaJ
MTAP	5'-methylthioadenosine phosphorylase	[c] : 5mta + pi --> 5mdr1p + ade	3	Nucleotide Metabolism	Rfer_3751	MtaP
OMPDC	orotidine-5'-phosphate decarboxylase	[c] : h + orot5p --> co2 + ump	2	Nucleotide Metabolism	Rfer_3776	PyrF
PRASCS	phosphoribosylaminoimidazolesuccinocarboxamide synthase	[c] : 5aizc + asp-L + atp <==> 25aics + adp + h + pi	3	Nucleotide Metabolism	Rfer_0203	PurC
URIDK1	uridylate kinase (UMP)	[c] : atp + ump --> adp + udp	3	Nucleotide Metabolism	Rfer_1991	PyrH
URIDK2	uridylate kinase (dUMP)	[c] : atp + dump --> adp + dudp	3	Nucleotide Metabolism	Rfer_1991	PyrH
XTPASE	XTP pyrophosphatase	[c] : h2o + xtp --> h + ppi + xmp	2	Nucleotide Metabolism	Rfer_1630	IxpP
ADA	Adenosine deaminase	[c] : adn + h + h2o --> ins + nh4	3	Nucleotide Salvage Pathways	Rfer_3297	Aah1
ADD	adenine deaminase	[c] : ade + h + h2o --> hxan + nh4	3	Nucleotide Salvage Pathways	Rfer_3297	Aah1
ADK1	adenylate kinase	[c] : amp + atp <==> (2) adp	3	Nucleotide Salvage Pathways	Rfer_3158	Adk
ADK3	guanylate kinase (aMP:gTP)	[c] : amp + gtp <==> adp + gdp	3	Nucleotide Salvage Pathways	Rfer_3158	Adk
ADK4	adentylate kinase (ITP)	[c] : amp + itp <==> adp + idp	3	Nucleotide Salvage Pathways	Rfer_3158	Adk
ADNK1	adenosine kinase	[c] : adn + atp --> adp + amp + h	3	Nucleotide Salvage Pathways	Rfer_3158	Adk
ADPT	adenine phosphoribosyltransferase	[c] : ade + prpp --> amp + ppi	3	Nucleotide Salvage Pathways	Rfer_4239	Apt
AMPN	AMP nucleosidase	[c] : amp + h2o --> ade + r5p	3	Nucleotide Salvage Pathways	Rfer_3569	Amn
AP4AH	bis(5'-nucleosyl)-tetraphosphatase	[c] : ap4a + h2o --> (2) adp + (2) h	3	Nucleotide Salvage Pathways	Rfer_3027	ApaH
AP5AH	Ap5A hydrolase	[c] : ap5a + h2o --> adp + atp + (2) h	3	Nucleotide Salvage Pathways	Rfer_3027	ApaH
CYTK1	cytidylate kinase (CMP)	[c] : atp + cmp <==> adp + cdp	2	Nucleotide Salvage Pathways	Rfer_1567	Cmk
CYTK2	cytidylate kinase (dCMP)	[c] : atp + dcmp <==> adp + dcdp	2	Nucleotide Salvage Pathways	Rfer_1567	Cmk
DADA	Deoxyadenosine deaminase	[c] : dad-2 + h + h2o --> din + nh4	3	Nucleotide Salvage Pathways	Rfer_3297	Aah1
DADK	deoxyadenylate kinase	[c] : atp + damp <==> adp + dadp	3	Nucleotide Salvage Pathways	Rfer_3158	Adk
DCTPD	dCTP deaminase	[c] : dctp + h + h2o --> dutp + nh4	2	Nucleotide Salvage Pathways	Rfer_3293	Dcd
DGK1	deoxyguanylate kinase (dGMP:ATP)	[c] : atp + dgmp <==> adp + dgdp	3	Nucleotide Salvage Pathways	Rfer_3147	Gmkec
DURIK1	deoxyuridine kinase (ATP:Deoxyuridine)	[c] : atp + duri --> adp + dump + h	3	Nucleotide Salvage Pathways	Rfer_4385	Tdk
DUTPDP	dUTP diphosphatase	[c] : dutp + h2o --> dump + h + ppi	3	Nucleotide Salvage Pathways	Rfer_2646	Dutec
GK1	guanylate kinase (GMP:ATP)	[c] : atp + gmp <==> adp + gdp	3	Nucleotide Salvage Pathways	Rfer_3147	Gmkec
GP4GH	Gp4G hydrolase	[c] : gp4g + h2o --> (2) gdp + (2) h	3	Nucleotide Salvage Pathways	Rfer_3027	ApaH
GUAD	guanine deaminase	[c] : gua + h + h2o --> nh4 + xan	3	Nucleotide Salvage Pathways	Rfer_3295	YgfP
NDPK1	nucleoside-diphosphate kinase (ATP:GDP)	[c] : atp + gdp <==> adp + gtp	3	Nucleotide Salvage Pathways	Rfer_2311	Ndk
NDPK2	nucleoside-diphosphate kinase (ATP:UDP)	[c] : atp + udp <==> adp + utp	3	Nucleotide Salvage Pathways	Rfer_2311	Ndk
NDPK3	nucleoside-diphosphate kinase (ATP:CDP)	[c] : atp + cdp <==> adp + ctp	3	Nucleotide Salvage Pathways	Rfer_2311	Ndk
NDPK4	nucleoside-diphosphate kinase (ATP:dTDP)	[c] : atp + dtdp <==> adp + dttp	3	Nucleotide Salvage Pathways	Rfer_2311	Ndk
NDPK5	nucleoside-diphosphate kinase (ATP:dGDP)	[c] : atp + dgdp <==> adp + dgtp	3	Nucleotide Salvage Pathways	Rfer_2311	Ndk
NDPK6	nucleoside-diphosphate kinase (ATP:dUDP)	[c] : atp + dudp <==> adp + dutp	3	Nucleotide Salvage Pathways	Rfer_2311	Ndk
NDPK7	nucleoside-diphosphate kinase (ATP:dCDP)	[c] : atp + dcdp <==> adp + dctp	3	Nucleotide Salvage Pathways	Rfer_2311	Ndk
NDPK8	nucleoside-diphosphate kinase (ATP:dADP)	[c] : atp + dadp <==> adp + datp	3	Nucleotide Salvage Pathways	Rfer_2311	Ndk
RNDR1	ribonucleoside-diphosphate reductase (ADP)	[c] : adp + trdrd --> dadp + h2o + trdox	2	Nucleotide Salvage Pathways	"Rfer_2197+Rfer_3348, Rfer_3348+Rfer_3347"	"Rnr12, Rnr32"
RNDR2	ribonucleoside-diphosphate reductase (GDP)	[c] : gdp + trdrd --> dgdp + h2o + trdox	2	Nucleotide Salvage Pathways	Rfer_3348+Rfer_3347	Rnr12
RNDR3	ribonucleoside-diphosphate reductase (CDP)	[c] : cdp + trdrd --> dcdp + h2o + trdox	2	Nucleotide Salvage Pathways	Rfer_3348+Rfer_3347	Rnr12
RNDR4	ribonucleoside-diphosphate reductase (UDP)	[c] : trdrd + udp --> dudp + h2o + trdox	2	Nucleotide Salvage Pathways	Rfer_3348+Rfer_3347	Rnr12
RNTR1	ribonucleoside-triphosphate reductase (ATP)	[c] : atp + trdrd --> datp + h2o + trdox	2	Nucleotide Salvage Pathways	Rfer_0368	NrdD
RNTR2	ribonucleoside-triphosphate reductase (GTP)	[c] : gtp + trdrd --> dgtp + h2o + trdox	2	Nucleotide Salvage Pathways	Rfer_0368	NrdD
RNTR3	ribonucleoside-triphosphate reductase (CTP)	[c] : ctp + trdrd --> dctp + h2o + trdox	2	Nucleotide Salvage Pathways	Rfer_0368	NrdD
RNTR4	ribonucleoside-triphosphate reductase (UTP)	[c] : trdrd + utp --> dutp + h2o + trdox	2	Nucleotide Salvage Pathways	Rfer_0368	NrdD
TMDK1	thymidine kinase (ATP:thymidine)	[c] : atp + thymd --> adp + dtmp + h	3	Nucleotide Salvage Pathways	"Rfer_4385, Rfer_2255"	"Tmk1, Tdk"
TMDS	thymidylate synthase	[c] : dump + mlthf --> dhf + dtmp	3	Nucleotide Salvage Pathways	Rfer_2986	ThyA
UMPK	UMP kinase	[c] : atp + ump <==> adp + udp	2	Nucleotide Salvage Pathways	Rfer_1567	Cmk
AIRC1	phosphoribosylaminoimidazole carboxylase (ATP-dependent)	[c] : air + atp + co2 + h2o --> 5aizc + adp + (2) h + pi	2	Nucleotides and nucleic acids	"Rfer_0196, Rfer_0197"	PurE+PurK
DURIPP	purine-nucleoside phosphatase (deoxyuridine)	[c] : duri + pi <==> 2dr1p + ura	2	Nucleotides and nucleic acids	Rfer_2241	Pdp
GMPR	GMP reductase	[c] : gmp + (2) h + nadph --> imp + nadp + nh4	3	Nucleotides and nucleic acids	Rfer_3037	GuaC
PYNP1r	pyrimidine-nucleoside phosphorylase (cytosine)	[c] : csn + r1p <==> cytd + pi	2	Nucleotides and nucleic acids	Rfer_2241	Pdp
PYNP2	pyrimidine-nucleoside phosphorylase (uracil)	[c] : pi + uri <==> r1p + ura	2	Nucleotides and nucleic acids	Rfer_2241	Pdp
TMDPP	thymidine phosphorylase	[c] : pi + thymd <==> 2dr1p + thym	2	Nucleotides and nucleic acids	Rfer_2241	Pdp
UPPRT	uracil phosphoribosyltransferase	[c] : prpp + ura --> ppi + ump	3	Nucleotides and nucleic acids	Rfer_2073	Upp
AMINOX9	amine oxidase (copper-containing )	[c] : h2o + met-L + o2 --> 4met2obut + h2o2 + nh4	3	Other	Rfer_2111	YbdL
APSPT	adenosine 5'-phosphosulfate reductase;	[c] : aps + trdrd <==> amp + (2) h + so3 + trdox	2	Other	Rfer_2458	CysH
CLPNS	cardiolipin synthetase	[c] : cdpdag + pgly --> cdlp + cmp + h	3	Other	Rfer_2153	Cls2
CYCPO	cytochrome-c peroxidase	[c] : (2) focytcc + (2) h + h2o2 --> (2) ficytcc + (2) h2o	3	Other	Rfer_3124	CcpA1
DMATT	dimethylallyltranstransferase	[c] : dmpp + ipdp --> grdp + ppi	3	Other	Rfer_2876	IspA
FMETTRS	Methionyl-tRNA formyltransferase	[c] : 10fthf + mettrna --> fmettrna + thf	3	Other	Rfer_3859	Fmt
GLUADT	glutaminyl-tRNA synthase (glutamine-hydrolysing)	[c] : atp + gln-L + glutrna + h2o --> adp + glntrna + glu-L + h + pi	2	Other	Rfer_3924+Rfer_3925+Rfer_3926	GatABC
GRTT	geranyltranstransferase	[c] : grdp + ipdp --> frdp + ppi	3	Other	Rfer_2876	IspA
GTHP	glutathione peridoxase	[c] : (2) gthrd + h2o2 <==> gthox + (2) h2o	2	Other	Rfer_0484	BsaA
GTPDPK	GTP diphosphokinase	[c] : atp + gtp --> amp + gdptp + h	3	Other	Rfer_2071	RelA
NPPDO	2-nitropropane dioxygenase	[c] : (2) n2ppn + o2 --> (2) acetone + (2) h + (2) no2	2	Other	Rfer_1334	Ncd
PPACH	phosphonoacetate hydrolase	[c] : h2o + ppac --> ac + pi	2	Other	Rfer_3747	PhnA
PPIK	polyphosphate kinase	[c] : atp + ppi --> adp + pppi	3	Other	Rfer_2017	Ppk
PYRZAM	Pyrazinamidase	[c] : h2o + malm --> male + nh4	3	Other	Rfer_0828	PncA
ATPS4r	ATP synthase (four protons for one ATP)	adp[c] + (4) h[e] + pi[c] <==> atp[c] + (3) h[c] + h2o[c]	2	Oxidative Phosphorylation	"Rfer_0112+Rfer_0110+Rfer_0111, Rfer_0108+Rfer_0106+Rfer_0105+Rfer_0107+Rfer_0109"	AtpF0+AtpF1
CYTBD	cytochrome oxidase bd (ubiquinol-8: 2 protons)	(2) h[c] + (0.5) o2[c] + ubq8h2[c] --> (2) h[e] + h2o[c] + ubq8[c]	3	Oxidative Phosphorylation	Rfer_2362+Rfer_2363	CydA
G3PD5	glycerol-3-phosphate dehydrogenase (ubiquinone-8)	[c] : glyc3p + ubq8 --> dhap + ubq8h2	3	Oxidative Phosphorylation	Rfer_2333	GlpD
NADH2u8	NADH dehydrogenase (Ubiquinone-8 & 2 protons)	(3) h[c] + nadh[c] + ubq8[c] --> (2) h[e] + nad[c] + ubq8h2[c]	2	Oxidative Phosphorylation	Rfer_1500+Rfer_1505+Rfer_1504+Rfer_1506+Rfer_1493+Rfer_1503+Rfer_1495+Rfer_1496+Rfer_1498+Rfer_1494+Rfer_1502+Rfer_1499+Rfer_1497+Rfer_1501	Nuo
NADH7	NADH dehydrogenase (menaquinone-8 & 2 protons)	(3) h[c] + mqn8[c] + nadh[c] --> (2) h[e] + mql8[c] + nad[c]	2	Oxidative Phosphorylation	Rfer_1500+Rfer_1505+Rfer_1504+Rfer_1506+Rfer_1493+Rfer_1503+Rfer_1495+Rfer_1496+Rfer_1498+Rfer_1494+Rfer_1502+Rfer_1499+Rfer_1497+Rfer_1501	Nuo
NADH8	NADH dehydrogenase (demethylmenaquinone-8 & 2.8 protons)	2dmmq8[c] + (3.8) h[c] + nadh[c] --> 2dmmql8[c] + (2.8) h[e] + nad[c]	2	Oxidative Phosphorylation	Rfer_1500+Rfer_1505+Rfer_1504+Rfer_1506+Rfer_1493+Rfer_1503+Rfer_1495+Rfer_1496+Rfer_1498+Rfer_1494+Rfer_1502+Rfer_1499+Rfer_1497+Rfer_1501	Nuo
NADPH12	Quinone oxidoreductase	[c] : h + nadph + ubq8 --> nadp + ubq8h2	3	Oxidative Phosphorylation	Rfer_1429	P_1.6.5.5
NO3R1	Nitrate reductase (Ubiquinol-8)	(2) h[c] + no3[c] + ubq8h2[c] --> (2) h[e] + h2o[c] + no2[c] + ubq8[c]	3	Oxidative Phosphorylation	Rfer_2792+Rfer_2793+Rfer_2795+Rfer_2794	NarGHIJ
NO3R2	Nitrate reductase (Menaquinol-8)	(2) h[c] + mql8[c] + no3[c] --> (2) h[e] + h2o[c] + mqn8[c] + no2[c]	3	Oxidative Phosphorylation	Rfer_2792+Rfer_2793+Rfer_2795+Rfer_2794	NarGHIJ
SUCD4	succinate dehyrdogenase	[c] : fadh2 + ubq8 <==> fad + ubq8h2	2	Oxidative Phosphorylation	Rfer_1799+Rfer_1801+Rfer_1798+Rfer_1800	Sdh
THD2	NAD(P) transhydrogenase	(2) h[e] + nadh[c] + nadp[c] --> (2) h[c] + nad[c] + nadph[c]	3	Oxidative Phosphorylation	Rfer_3753+Rfer_3754	Pnt
THD5	NAD transhydrogenase	[c] : nad + nadph --> nadh + nadp	3	Oxidative Phosphorylation	Rfer_3753+Rfer_3754	Pnt
TRDR	thioredoxin reductase (NADPH)	[c] : h + nadph + trdox --> nadp + trdrd	3	Oxidative Phosphorylation	Rfer_3179	TrxB
EDA	2-dehydro-3-deoxy-phosphogluconate aldolase	[c] : 2ddg6p --> g3p + pyr	3	Pentose Phosphate Pathway	Rfer_2061	Eda
G6PDH	glucose 6-phosphate dehydrogenase	[c] : g6p + nadp --> 6pgl + h + nadph	3	Pentose Phosphate Pathway	Rfer_4034	Zwf1
G6PDHy	glucose 6-phosphate dehydrogenase	[c] : g6p + nadp <==> 6pgl + h + nadph	3	Pentose Phosphate Pathway	Rfer_1125	Zwf
PGDH	phosphogluconate dehydrogenase	[c] : 6pgc + nadp --> co2 + nadph + ru5p-D	3	Pentose Phosphate Pathway	Rfer_4033	Gnd
PGDHY	phosphogluconate dehydratase	[c] : 6pgc --> 2ddg6p + h2o	3	Pentose Phosphate Pathway	Rfer_2060	Edd
RPE	ribulose 5-phosphate 3-epimerase	[c] : ru5p-D <==> xu5p-D	3	Pentose Phosphate Pathway	Rfer_0532	Rpeec
RPI	ribose-5-phosphate isomerase	[c] : r5p <==> ru5p-D	3	Pentose Phosphate Pathway	Rfer_2206	RpiA
TAL	transaldolase	[c] : g3p + s7p <==> e4p + f6p	3	Pentose Phosphate Pathway	Rfer_1126	TalB
TKT1	transketolase	[c] : r5p + xu5p-D <==> g3p + s7p	3	Pentose Phosphate Pathway	Rfer_4112	TktA
TKT2	transketolase	[c] : e4p + xu5p-D <==> f6p + g3p	3	Pentose Phosphate Pathway	Rfer_4112	TktA
EPPP	exopolyphosphatase	[c] : h2o + polypi --> h + pi	3	Phosphate and sulfur	Rfer_2032	Ppx
FDMO1	FMN-dependent monooxygenase (ethanesulfonate)	[c] : eths + fmnRD + o2 --> acald + fmn + h + h2o + so3	2	Phosphate and sulfur	"Rfer_1780, Rfer_1777"	SsuD+SsuE
FDMO2	FMN-dependent monooxygenase (butanesulfonate)	[c] : buts + fmnRD + o2 --> btal + fmn + h + h2o + so3	2	Phosphate and sulfur	"Rfer_1780, Rfer_1777"	SsuD+SsuE
FDMO3	FMN-dependent monooxygenase (hexanesulfonate)	[c] : fmnRD + hexs + o2 --> fmn + h + h2o + hxal + so3	2	Phosphate and sulfur	"Rfer_1780, Rfer_1777"	SsuD+SsuE
FDMO5	FMN-dependent monooxygenase (sulfoacetate)	[c] : fmnRD + o2 + sula --> fmn + glx + h + h2o + so3	2	Phosphate and sulfur	"Rfer_1780, Rfer_1777"	SsuD+SsuE
FDMO6	FMN-dependent monooxygenase (isethionate)	[c] : fmnRD + istnt + o2 --> fmn + gcald + h + h2o + so3	2	Phosphate and sulfur	"Rfer_1780, Rfer_1777"	SsuD+SsuE
PROTRS	Prolyl-tRNA synthetase	[c] : atp + pro-L + trnapro --> amp + ppi + protrna	3	Proline Metabolism	Rfer_1274	ProS
ADSL1r	adenylsuccinate lyase	[c] : dcamp <==> amp + fum	3	Purine and Pyrimidine Biosynthesis	Rfer_4049	PurB
ADSL2r	adenylosuccinate lyase	[c] : 25aics <==> aicar + fum	3	Purine and Pyrimidine Biosynthesis	Rfer_4049	PurB
ADSS	adenylosuccinate synthetase	[c] : asp-L + gtp + imp --> dcamp + gdp + (2) h + pi	3	Purine and Pyrimidine Biosynthesis	Rfer_2296	PurA
CTPS2	CTP synthase (glutamine)	[c] : atp + gln-L + h2o + utp --> adp + ctp + glu-L + (2) h + pi	3	Purine and Pyrimidine Biosynthesis	Rfer_2648	PyrG
DHORD2	dihydoorotic acid dehydrogenase (quinone8)	[c] : dhor-S + ubq8 --> orot + ubq8h2	3	Purine and Pyrimidine Biosynthesis	Rfer_2205	PyrD
DHORD5	dihydroorotic acid (menaquinone-8)	[c] : dhor-S + mqn8 --> mql8 + orot	3	Purine and Pyrimidine Biosynthesis	Rfer_2205	PyrD
DHORTS	dihydroorotase	[c] : dhor-S + h2o <==> cbasp + h	3	Purine and Pyrimidine Biosynthesis	"Rfer_1381, Rfer_3464"	"PyrC, PyrC2"
GARFT	phosphoribosylglycinamide formyltransferase	[c] : 10fthf + gar <==> fgam + h + thf	3	Purine and Pyrimidine Biosynthesis	Rfer_1649	PurN
GART	Phosphoribosylglycinamide formyltransferase 2	[c] : atp + for + gar --> adp + fgam + h + pi	3	Purine and Pyrimidine Biosynthesis	Rfer_3559	PurT
GLUPRT	glutamine phosphoribosyldiphosphate amidotransferase	[c] : gln-L + h2o + prpp --> glu-L + ppi + pram	3	Purine and Pyrimidine Biosynthesis	Rfer_2683	PurF
GMPS2	GMP synthase (glutamine-hydrolysing)	[c] : atp + gln-L + h2o + xmp --> amp + glu-L + gmp + (2) h + ppi	3	Purine and Pyrimidine Biosynthesis	Rfer_2287	GuaA
ORPT	orotate phosphoribosyltransferase	[c] : orot5p + ppi <==> orot + prpp	3	Purine and Pyrimidine Biosynthesis	Rfer_3928	PyrE
PRAGS	phosphoribosylglycinamide synthetase	[c] : atp + gly + pram --> adp + gar + h + pi	3	Purine and Pyrimidine Biosynthesis	Rfer_2076	PurDec
PRAIS	phosphoribosylaminoimidazole synthetase	[c] : atp + fpram --> adp + air + h + pi	3	Purine and Pyrimidine Biosynthesis	Rfer_2512	PurM
PRFGS	phosphoribosylformylglycinamidine synthase	[c] : atp + fgam + gln-L + h2o --> adp + fpram + glu-L + (2) h + pi	3	Purine and Pyrimidine Biosynthesis	Rfer_2420	Ade6
ACS	acetyl-CoA synthetase	[c] : ac + atp + coa --> accoa + amp + ppi	3	Pyruvate Metabolism	"Rfer_2581, Rfer_3963"	"Acs1, Acs"
DAPAL	"2,3-Diaminopropionate ammonia-lyase"	[c] : 23dap + h2o <==> (2) nh4 + pyr	3	Pyruvate Metabolism	Rfer_0159	DapL
PTAr	phosphotransacetylase	[c] : accoa + pi <==> actp + coa	3	Pyruvate Metabolism	Rfer_0262	Pta
DMOCT	3-deoxy-manno-octulosonate cytidylyltransferase	[c] : ctp + kdo --> ckdo + ppi	3	Riboflavin Metabolism	"Rfer_3157, Rfer_1242"	"KdsBec, KdsB"
ASAD	aspartate-semialdehyde dehydrogenase	[c] : aspsa + nadp + pi <==> 4pasp + h + nadph	3	Threonine and Lysine Metabolism	Rfer_1792	Asd
DAPDC	diaminopimelate decarboxylase	[c] : 26dap-M + h --> co2 + lys-L	3	Threonine and Lysine Metabolism	"Rfer_2916, Rfer_0700"	"LysA, LysA1"
DAPE	diaminopimelate epimerase	[c] : 26dap-LL <==> 26dap-M	3	Threonine and Lysine Metabolism	Rfer_3444	DapF
DHDPRy	dihydrodipicolinate reductase (NADPH)	[c] : 23dhdp + h + nadph --> nadp + thdp	3	Threonine and Lysine Metabolism	Rfer_0755	DapB
DHDPS	dihydrodipicolinate synthase	[c] : aspsa + pyr --> 23dhdp + h + (2) h2o	3	Threonine and Lysine Metabolism	Rfer_2097	DapA
HSK	homoserine kinase	[c] : atp + hom-L --> adp + h + phom	3	Threonine and Lysine Metabolism	Rfer_1323	ThrB
LYSTRS	Lysyl-tRNA synthetase	[c] : atp + lys-L + trnalys --> amp + lystrna + ppi	3	Threonine and Lysine Metabolism	Rfer_1784	LysS
P6CDH	Piperidine-6-carboxylate dehydrogenase	[c] : 1ppr6p + (2) h2o + nad --> 2aadp + h + nadh	3	Threonine and Lysine Metabolism	Rfer_3228	YpcD
SDPDS	succinyl-diaminopimelate desuccinylase	[c] : h2o + sl26da --> 26dap-LL + succ	3	Threonine and Lysine Metabolism	Rfer_2044	DapE
THDPS	tetrahydropicolinate succinylase	[c] : h2o + succoa + thdp --> coa + sl2a6o	3	Threonine and Lysine Metabolism	Rfer_2046	DapD
THRA	threonine aldolase	[c] : thr-L <==> acald + gly	3	Threonine and Lysine Metabolism	Rfer_2658	GlyA
THRTRS	Threonyl-tRNA synthetase	[c] : atp + thr-L + trnathr --> amp + ppi + thrtrna	3	Threonine and Lysine Metabolism	Rfer_1336	ThrS
ARBabc	L-arabinose transport via ABC system	arab-L[e] + atp[c] + h2o[c] --> adp[c] + arab-L[c] + h[c] + pi[c]	3	Transport	"Rfer_1101, Rfer_1099, Rfer_1100"	AraQ+AraP+AraN
ARGabc	L-arginine transport via ABC system	arg-L[e] + atp[c] + h2o[c] --> adp[c] + arg-L[c] + h[c] + pi[c]	3	Transport	"Rfer_2969, Rfer_2970, Rfer_2971"	YqiZ+YqiX+YqiY
ATPS4	ATP synthase (four protons for one ATP)	adp[c] + (4) h[e] + pi[c] --> atp[c] + (3) h[c] + h2o[c]	3	Transport	Rfer_1165+Rfer_1161+Rfer_1162+Rfer_1169+Rfer_1163+Rfer_1166+Rfer_1168+Rfer_1167	Atps3
BZt6	benzoate transport in/out via proton symport	bz[e] + h[e] <==> bz[c] + h[c]	4	Transport		
CA2abc1	calcium efflux  via ABC system	atp[c] + ca2[c] + h2o[c] --> adp[c] + ca2[e] + h[c] + pi[c]	3	Transport	"Rfer_0492, Rfer_1665"	"Cat2, Cat"
CD2abc1	cadmium transport out via ABC system	atp[c] + cd2[c] + h2o[c] --> adp[c] + cd2[e] + h[c] + pi[c]	3	Transport	Rfer_0854	Cdp1
CD2abc2	cadmium transport in via ABC system	atp[c] + cd2[e] + h2o[c] --> adp[c] + cd2[c] + h[c] + pi[c]	3	Transport	Rfer_0854	Cdp1
CD2t4	cadminum transport out via antiport	cd2[c] + h[e] + k[e] --> cd2[e] + h[c] + k[c]	3	Transport	Rfer_0413+Rfer_0412+Rfer_0411	CzcA3
CITt7	Citrate transport via succinate antiport	cit[e] + succ[c] --> cit[c] + succ[e]	3	Transport	Rfer_2412	CitT
COBALTt4	cobalt transport out via proton antiporter	cobalt2[c] + h[e] + k[e] --> cobalt2[e] + h[c] + k[c]	3	Transport	Rfer_0413+Rfer_0412+Rfer_0411	CzcA3
COBALTt5	cobalt transport in/out via permease (no H+)	cobalt2[c] <==> cobalt2[e]	3	Transport	Rfer_3748	CorA2
CRO4t6	chromate transport in/out via proton symport	cro4[e] + h[e] <==> cro4[c] + h[c]	3	Transport	"Rfer_2824, Rfer_2447"	"ChrA1, ChrA"
Cuabc	Copper transport via ABC system	atp[c] + cu2[e] + h2o[c] --> adp[c] + cu2[c] + h[c] + pi[c]	3	Transport	"Rfer_1144, Rfer_0418"	"Cudp, Cudp1"
Cut1	Copper export via ATPase	atp[c] + cu2[c] + h2o[c] --> adp[c] + cu2[e] + h[c] + pi[c]	3	Transport	Rfer_0024	YvgX
DDGLCNt2	"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible"	2ddglcn[e] + h[e] <==> 2ddglcn[c] + h[c]	3	Transport	Rfer_3567	KdgT
FE2abc	iron (II) transport via ABC system	atp[c] + fe2[e] + h2o[c] --> adp[c] + fe2[c] + h[c] + pi[c]	2	Transport	Rfer_0064	FeoB1
FE3abc	iron (III) transport via ABC system	atp[c] + fe3[e] + h2o[c] --> adp[c] + fe3[c] + h[c] + pi[c]	3	Transport	Rfer_1595+Rfer_1594+Rfer_2758	FeABC
